GEOID,County_Name,Region,shore-Adjacent
51159,Richmond,Mid-Atlantic,1
51177,Spotsylvania,Mid-Atlantic,0
51179,Stafford,Mid-Atlantic,0
51181,Surry,Mid-Atlantic,1
51193,Westmoreland,Mid-Atlantic,1
51199,York,Mid-Atlantic,1
51510,Alexandria (city),Mid-Atlantic,0
51550,Chesapeake (city),Mid-Atlantic,0
51650,Hampton (city),Mid-Atlantic,1
51670,Hopewell (city),Mid-Atlantic,0
51700,Newport News (city),Mid-Atlantic,1
51710,Norfolk (city),Mid-Atlantic,1
51735,Poquoson (city),Mid-Atlantic,1
51740,Portsmouth (city),Mid-Atlantic,1
51760,Richmond (city),Mid-Atlantic,0
51800,Suffolk,Mid-Atlantic,1
51810,Virginia Beach,Mid-Atlantic,1
51830,Williamsburg,Mid-Atlantic,0
53009,Clallam,West,1
53027,Grays Harbor,West,1
53029,Island,West,1
53031,Jefferson,West,1
53033,King,West,1
53035,Kitsap,West,1
53045,Mason,West,1
53049,Pacific,West,1
53053,Pierce,West,1
53055,San Juan,West,1
53057,Skagit,West,1
53061,Snohomish,West,1
53067,Thurston,West,0
53069,Wahkiakum,West,1
53073,Whatcom,West,1
55003,Ashland,Great Lakes,1
55007,Bayfield,Great Lakes,1
55009,Brown,Great Lakes,1
55029,Door,Great Lakes,1
55031,Douglas,Great Lakes,1
55051,Iron,Great Lakes,1
55059,Kenosha,Great Lakes,1
55061,Kewaunee,Great Lakes,1
55071,Manitowoc,Great Lakes,1
55075,Marinette,Great Lakes,1
55079,Milwaukee,Great Lakes,1
55083,Oconto,Great Lakes,1
55089,Ozaukee,Great Lakes,1
55101,Racine,Great Lakes,1
55117,Sheboygan,Great Lakes,1
